id,class
14005763157321875172,githeri
4939671543203955477,githeri
3538391152492031019,githeri
17566700413819485115,githeri
14713738564118739456,githeri
15062233551849204711,githeri
6709969051567974643,githeri
3275549613200301608,githeri
4534908463155914489,githeri
15721740844179914369,githeri
5907777417117531572,githeri
2079440503748202253,githeri
202246973074143646,githeri
7217843086834892636,githeri
12036075370824959992,githeri
6114937434563834968,githeri
4630248291925314477,githeri
11683649573558361077,githeri
1624470310833203051,githeri
10185922396479053738,githeri
6301312999276278847,githeri
8825262543999539006,githeri
5742399541651505527,githeri
12130217950914062945,githeri
2305994797978406383,githeri
9610046372652994794,githeri
9595750711435393866,githeri
4711295560881768278,githeri
1602739768801387849,githeri
5336103338836818402,githeri
14492031395775211036,githeri
15180330405180933305,githeri
17372721511186087195,githeri
7916739319163634799,githeri
10836894964273605243,githeri
4393321964761669995,githeri
11790948274972909438,githeri
15080108265011730234,githeri
10802787978865522683,githeri
8754307207914367665,githeri
4051709886444513666,githeri
16688741211065767686,githeri
5805478143224464923,githeri
1149843062122526330,githeri
18238021363785974835,githeri
8673977750213594528,githeri
18356986450660443534,githeri
13952093662018245409,githeri
13076129160838624192,githeri
8268939151875554532,githeri
7588213173685510207,githeri
684544971385033864,githeri
10549333422864644059,githeri
17493891441797324816,githeri
13777742879836625986,githeri
11067526545857188617,githeri
16123882081317975149,githeri
4216816757213627674,githeri
12159263390112852127,githeri
5365347652683237823,githeri
7689006531613782808,githeri
6173998037640260793,githeri
1947877945976510213,githeri
16770919428822080853,githeri
4488230524100335587,githeri
13846024403042696438,githeri
7012460466200000409,githeri
7410145167322684250,githeri
4516625517931520947,githeri
11543024943605373021,githeri
9711590509357354605,githeri
4462194659147342287,githeri
12636908719033382704,githeri
14274298906822704576,githeri
16425446292677113756,githeri
5022455876845258160,githeri
9857841299727088433,githeri
5780055510209891460,githeri
17695885168061205359,githeri
8849025397513741570,githeri
7301146957233457693,githeri
18193269968533076965,githeri
7397504556610685429,githeri
17598787577812102092,githeri
1006585947644423620,githeri
2582370106352787714,githeri
8085667222079548138,githeri
17106064900350678072,githeri
5198898022071514099,githeri
15284634986828540727,githeri
15042806088505028455,githeri
4311639097974963798,githeri
2768667936382086855,githeri
4692601763664753805,githeri
17925417494658274670,githeri
13820850437262806205,githeri
13497793634916117115,githeri
9674371995373870235,githeri
8866392347778848795,githeri
1462023346706004462,githeri
16578147552330393639,githeri
1417725730922480275,githeri
1880604816165993167,githeri
3153905102292069332,githeri
15076229117780095288,githeri
9112575659824287480,githeri
2713860184014229249,githeri
15887653076863490798,githeri
15095751180567633565,githeri
9036685073390275315,githeri
5264331851052496970,githeri
8516151755985931526,githeri
5734964963082829882,githeri
11171089477328577928,githeri
6547517987428283015,githeri
1317879274962821065,githeri
7137541340022629510,githeri
851635748668277500,githeri
4197237275090508054,githeri
8577646766747808096,githeri
8168492746049905944,githeri
6052486889685579944,githeri
15363898864040059866,githeri
7606155709157969988,githeri
8009588200740743231,githeri
7404886300161802094,githeri
2420146226928423587,githeri
815129099867142845,githeri
4241316475083459920,githeri
12809796348208429082,githeri
13523065622692759101,githeri
9859758081000319226,githeri
13522438690573832186,githeri
5719899351962542210,githeri
17650253255223601531,githeri
14875747537073356254,githeri
7741883228979030630,githeri
14968095156417704709,githeri
15757986308995805324,githeri
14092740163192020202,githeri
18190090369269226392,githeri
1663813611528329737,githeri
6146613756349012345,githeri
1158250948610061727,githeri
14641393919336657245,githeri
12944250541111215535,githeri
9553588400072128272,githeri
14350633139934502704,githeri
4048224949948654900,githeri
11606270246051169142,githeri
12146958979235757480,githeri
13343496578385481576,githeri
17704871682888291021,githeri
1807144751654850987,githeri
14229467218558343643,githeri
12316631136905102009,githeri
18073019249388127270,githeri
3395561779011964756,githeri
8566660793227630778,githeri
1568337449603094217,ugali
14808064362936386593,ugali
12187139668332920611,ugali
10291859668651526111,ugali
1864690356239667091,ugali
335646144186467822,ugali
13630586455706933613,ugali
566154660622965212,ugali
7673558291081750083,ugali
11772242623465214998,ugali
11009435452160578820,ugali
1991728053359600784,ugali
16733946872331548594,ugali
220524068788151209,ugali
14827826203101138522,ugali
331139528853146546,ugali
3625330147936573465,ugali
7249265054392332051,ugali
15787759236751906124,ugali
5237016818878190204,ugali
16774905423951648977,ugali
4585912225528376655,ugali
6891081601865097609,ugali
5785294839040947716,ugali
17613668885906195727,ugali
6188363377584320259,ugali
15759161903631717034,ugali
837741112908081738,ugali
15034798858546225817,ugali
4383544467627505424,ugali
17630634319398840325,ugali
13629735594328110717,ugali
4293033358643161241,ugali
6682125881921073594,ugali
15392660729497223531,ugali
14292455615311440906,ugali
16212144437174914916,ugali
4826015950053710497,ugali
14709369310281859920,ugali
1049740091350316522,ugali
11727920489323808678,ugali
17729216363834864217,ugali
3606010984886914749,ugali
1028560920088964503,ugali
12907167584677645963,ugali
8108813268050409520,ugali
13766258597634564233,ugali
743878419021449820,ugali
11621223475075705951,ugali
4821150482188719261,ugali
11637418048315150162,ugali
6865068090061317906,ugali
9228950624498779171,ugali
7738929281459931313,ugali
9772394007313576266,ugali
2787410077080848980,ugali
11715105790683722296,ugali
3515173775730142047,ugali
13376169089397187775,ugali
11113619251927682156,ugali
13978411171980389725,ugali
15855450071646901818,ugali
6461811943120675643,ugali
9690588926187395939,ugali
5880202716343651318,ugali
4664916933135003890,ugali
3742046793505432641,ugali
9700444021512045329,ugali
8000444561875474028,ugali
14657259709345970715,ugali
6112243465525410107,ugali
16535513119746017026,ugali
2502368451362884292,ugali
4549980041409734135,ugali
11396278270171963117,ugali
10647042734813985692,ugali
3445195072785942229,ugali
14206445646210545666,ugali
1396093307851902053,ugali
8400170542863621330,ugali
11682564643353600543,ugali
565671357926218459,ugali
4545542519591967146,ugali
15648932379738929643,ugali
14039894629873270524,ugali
7146753603076899891,ugali
3212087140293579708,ugali
15114030396533800728,ugali
16381339045295612646,ugali
1057851320029873263,ugali
8444919126826905265,ugali
2972415307151785439,ugali
8717363108505854774,ugali
8409542767213367354,ugali
17005876753087277517,ugali
8613782264758114062,ugali
12299728568616917758,ugali
6319568937967194147,ugali
9023052031023584545,ugali
2367844649263302496,ugali
5532750925687418255,ugali
4301825326543975290,ugali
13206374461644551757,ugali
10293760659183823178,ugali
275896623086731578,ugali
3917830299077308965,ugali
2812958015001991826,ugali
8461556487812022658,ugali
4094741999987783337,ugali
4869995336017760009,ugali
17460822637392727509,ugali
5478054872206215804,ugali
8158016983322052925,ugali
8187577712073056840,ugali
17851798094264179951,ugali
14953417966132227490,ugali
1000428069031919295,ugali
14687064799934961172,ugali
12242604354158635855,ugali
9795510754980142091,ugali
5777051876967217823,ugali
15064654893356520922,ugali
2807511740252926966,ugali
4618285748886797950,ugali
10571432152333201249,ugali
9756245620787895155,ugali
18068615647345964977,ugali
11966456530063792371,ugali
14971154290746445942,ugali
18133154460071666252,ugali
6684777071714540759,ugali
142555210472268520,ugali
9757075260102195587,ugali
3441412837989276753,ugali
11256359908816734404,ugali
6346733183489724896,ugali
15034102952344702438,ugali
170940657865308493,ugali
8728311242248918729,ugali
12132174248812759791,ugali
3694874990526395269,ugali
9199176137422618101,ugali
1110524507048478729,ugali
7889627695309630177,ugali
9508544886434504962,ugali
14909389548037373263,ugali
10348335598029111784,ugali
12872695463050468390,ugali
15904533775563212212,ugali
9643813484204068315,ugali
15199275683281039958,ugali
15074155635180507427,ugali
9654067105293170576,ugali
9884156030921689076,ugali
6077707135503258602,ugali
11348451582090273478,ugali
13090812303089703941,ugali
9370211090445618102,ugali
12933680576778859001,ugali
15809037455897024368,ugali
10016461233526271183,ugali
8334672447058731301,ugali
13638089698269941031,ugali
16772940549455576763,ugali
6463264772341729409,ugali
1873430026892578267,ugali
17432991057868959046,ugali
12480111821684263510,ugali
17094013941458819139,ugali
14215034991467474606,ugali
18306856856867379476,ugali
14866106070927942399,ugali
3863603754295068217,ugali
885205908717527982,ugali
3776996782248793226,ugali
13151828977388322271,ugali
15859915390406574446,ugali
2660610040170382485,ugali
13314318977986602191,ugali
13947206125216022778,ugali
16866362136559890899,ugali
7840311645196531621,ugali
14903059121897303376,ugali
5440574553041906214,ugali
8293215105266842812,ugali
17479552557035840043,ugali
7294269541270435253,ugali
11364935283885242267,ugali
17490187907999292854,ugali
14197914931207252248,ugali
6051707615345979075,ugali
3392560950210958660,ugali
3990258984421544127,ugali
10296150731301352760,ugali
17872941446346594017,ugali
3621597742680332665,ugali
16800021017508815567,ugali
14443287150002107610,ugali
14799906546754463632,ugali
3643922977930361496,ugali
8546538507244970988,ugali
4394642209181948381,ugali
3229453490576595360,ugali
52543304277116056,ugali
5990215045094926577,ugali
8802480895900593054,ugali
11252008886986765214,ugali
12487998559342412135,ugali
13299402178945456629,kachumbari
16234330846513804184,kachumbari
9231929168323964870,kachumbari
3998400985780656366,kachumbari
11340236159544328996,kachumbari
349831210979611535,kachumbari
17331353143747505420,kachumbari
5274203241956843203,kachumbari
15428588281804745041,kachumbari
8197763633934010065,kachumbari
2228083123004496126,kachumbari
2155849727426140404,kachumbari
2637340416989001097,kachumbari
7333101380985625515,kachumbari
7355573707678088837,kachumbari
8931971704430442260,kachumbari
8252467505191679664,kachumbari
4952852342556463066,kachumbari
17726482488319798413,kachumbari
14860449527958034478,kachumbari
16444000870042681818,kachumbari
13196359228880408113,kachumbari
3114569049350745278,kachumbari
15065602455753901830,kachumbari
6859978817899393155,kachumbari
379145191247681558,kachumbari
16533125595462012528,kachumbari
10665312104977278464,kachumbari
16134453194001147892,kachumbari
17384742503432305903,kachumbari
12744621231677977526,kachumbari
1419754802656300931,kachumbari
1962519694450856717,kachumbari
16151855575609517091,kachumbari
12118768458052519225,kachumbari
7128415453066428480,kachumbari
6038664787270631453,kachumbari
12256553183959991992,kachumbari
14072225001481637365,kachumbari
5287215373957512454,kachumbari
7792883335552122639,kachumbari
16658790692228103696,kachumbari
14690277671319535835,kachumbari
1703490225272750794,kachumbari
1452278469166113646,kachumbari
15695925215997394716,kachumbari
16715240297599250467,kachumbari
15261275935561099385,kachumbari
17373198876845863591,kachumbari
3633696000343052816,kachumbari
16385959541488007462,kachumbari
9288156418433492102,kachumbari
6010995905036773200,kachumbari
17750086951556232772,kachumbari
18404375084304595174,kachumbari
4437220880739119497,kachumbari
1910544636328744125,kachumbari
17121282425550932452,kachumbari
11326200655969153259,kachumbari
9506047632728758137,kachumbari
1938908454580690466,kachumbari
